run_accession	sample_accession	country	collection_date	instrument_model	library_strategy	read_count	fastq_ftp
ERR14800275	SAMEA117969202	Pakistan	not collected	NextSeq 500	WGS	2206406	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/075/ERR14800275/ERR14800275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/075/ERR14800275/ERR14800275_2.fastq.gz
ERR14800279	SAMEA117969206	Pakistan	not collected	NextSeq 500	WGS	4703112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/079/ERR14800279/ERR14800279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/079/ERR14800279/ERR14800279_2.fastq.gz
ERR14800297	SAMEA117969224	Pakistan	not collected	NextSeq 500	WGS	5434070	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/097/ERR14800297/ERR14800297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/097/ERR14800297/ERR14800297_2.fastq.gz
ERR14800310	SAMEA117969237	Pakistan	not collected	NextSeq 500	WGS	4418884	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/010/ERR14800310/ERR14800310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/010/ERR14800310/ERR14800310_2.fastq.gz
ERR14800313	SAMEA117969240	Pakistan	not collected	NextSeq 500	WGS	5119048	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/013/ERR14800313/ERR14800313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/013/ERR14800313/ERR14800313_2.fastq.gz
ERR14800325	SAMEA117969252	Pakistan	not collected	NextSeq 500	WGS	2820822	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/025/ERR14800325/ERR14800325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/025/ERR14800325/ERR14800325_2.fastq.gz
ERR14800331	SAMEA117969258	Pakistan	not collected	NextSeq 500	WGS	4902634	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/031/ERR14800331/ERR14800331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/031/ERR14800331/ERR14800331_2.fastq.gz
ERR14800332	SAMEA117969259	Pakistan	not collected	NextSeq 500	WGS	3770090	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/032/ERR14800332/ERR14800332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/032/ERR14800332/ERR14800332_2.fastq.gz
ERR14800334	SAMEA117969261	Pakistan	not collected	NextSeq 500	WGS	6266082	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/034/ERR14800334/ERR14800334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/034/ERR14800334/ERR14800334_2.fastq.gz
ERR14800335	SAMEA117969262	Pakistan	not collected	NextSeq 500	WGS	3585068	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/035/ERR14800335/ERR14800335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/035/ERR14800335/ERR14800335_2.fastq.gz
ERR14800341	SAMEA117969268	Pakistan	not collected	NextSeq 500	WGS	3872112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/041/ERR14800341/ERR14800341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/041/ERR14800341/ERR14800341_2.fastq.gz
ERR14800349	SAMEA117969276	Pakistan	not collected	NextSeq 500	WGS	2517614	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/049/ERR14800349/ERR14800349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/049/ERR14800349/ERR14800349_2.fastq.gz
ERR14800350	SAMEA117969277	Pakistan	not collected	NextSeq 500	WGS	1579534	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/050/ERR14800350/ERR14800350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/050/ERR14800350/ERR14800350_2.fastq.gz
ERR14800353	SAMEA117969280	Pakistan	not collected	NextSeq 500	WGS	2932636	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/053/ERR14800353/ERR14800353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/053/ERR14800353/ERR14800353_2.fastq.gz
ERR2403057	SAMEA104168728	Pakistan	1800/2014	PacBio RS	WGS	0	
ERR2403058	SAMEA104168729	Pakistan	1800/2014	PacBio RS	WGS	0	
ERR4920551	SAMEA7472542	Pakistan	2015-17	Illumina MiSeq	WGS	286122	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920551/ERR4920551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920551/ERR4920551_2.fastq.gz
ERR4920552	SAMEA7472558	Pakistan	2015-17	Illumina MiSeq	WGS	478626	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/002/ERR4920552/ERR4920552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/002/ERR4920552/ERR4920552_2.fastq.gz
ERR4920553	SAMEA7472561	Pakistan	2015-17	Illumina MiSeq	WGS	798084	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920553/ERR4920553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920553/ERR4920553_2.fastq.gz
ERR4920554	SAMEA7472562	Pakistan	2015-17	Illumina MiSeq	WGS	0	
ERR4920557	SAMEA7472578	Pakistan	2015-17	Illumina MiSeq	WGS	475774	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/007/ERR4920557/ERR4920557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/007/ERR4920557/ERR4920557_2.fastq.gz
ERR4920561	SAMEA7472598	Pakistan	2015-17	Illumina MiSeq	WGS	918046	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920561/ERR4920561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920561/ERR4920561_2.fastq.gz
ERR4920562	SAMEA7472599	Pakistan	2015-17	Illumina MiSeq	WGS	598386	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/002/ERR4920562/ERR4920562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/002/ERR4920562/ERR4920562_2.fastq.gz
